"filename", "language", "C++", "comment", "blank", "total"
"d:\QTmmm\chatApp\contactuserlist.cpp", "C++", 12, -12, 0, 0
"d:\QTmmm\chatApp\friendinfopage.cpp", "C++", 12, 0, 1, 13
"d:\QTmmm\chatApp\friendinfopage.h", "C++", 3, 0, -2, 1
"d:\QTmmm\chatApp\videocallingdialog.cpp", "C++", 19, 0, 4, 23
"d:\QTmmm\chatApp\videocallingdialog.h", "C++", 16, 0, 7, 23
"Total", "-", 62, -12, 10, 60
